id,qid1,qid2,question1,question2,is_duplicate
143177,283365,283366,Which are the best adult comedy movie in Hollywood?,Which are the best Hollywood comedy movies?,0
155883,308285,308286,What are the best puns?,What is a good goat pun?,0
305744,600316,600317,What should be done to get rid of laziness?,What should I do to avoid laziness?,1
344465,675081,675082,Should Donald Trump be president of the USA?,Is Donald Trump the president USA deserves?,1
219935,433582,433583,What are the clues girl leaves you if she likes you?,I'm a girl how do I know if a girl likes me?,1
155957,308428,308429,What are the benefits of reading newspapers?,What are the most popular newspapers in the UK?,0
345513,677094,677095,"At the age of 30 can a NGO help me, I am from middle class family?",What is the best way of getting good at answering logic questions?,0
80348,159609,159610,What are best online courses for a b.tech student?,What are some good online courses for an LLB student?,0
325815,639070,639071,Who is in charge of music supervising for Mike Tyson Mysteries on Adult Swim?,Why did Adult Swim air the UK version of The Office?,0
210864,415917,415918,Why do East Asians face discrimination in Western countries despite having a skin color similar to whites?,Why do some Caucasian men prefer Asian women?,0
381599,746281,746282,"Which is a good solar panel installation provider near Joshua Tree, California CA?","Which is a good solar panel installation provider near Agoura, California?",0
94482,185940,108158,How do I spend less time on Facebook?,What makes Facebook so addictive? Why do people log into Facebook all the time? Why spend time on Facebook over other things in life?,0
27636,55107,55108,Where can I learn data structures and algorithms online?,What are some good websites to learn data structures and algorithms?,1
323739,635054,635055,What is the next number of this sequence? 5…..17……37…..89…..??,What is the next number in the sequence?,0
215303,424558,424559,Where can I rent bicycles in Mumbai?,Where can I get bikes to rent in Mumbai?,1
23653,47190,47191,How can one become part of the 1%?,How do I make money to support my living in U.S?,0
111197,220498,220499,What is the natural way to increase height at age of 20?,Is there any way to get taller if I have already crossed 20?,1
44911,89431,89432,What is PAN?,What is a pan card?,0
55895,111206,111207,How do North/South Korean spies travel between the two countries without being detected?,"Besides the DMZ, where can South Korea be seen in North Korea, specifically by native North Koreans?",0
401668,784654,784655,Why China is supporting Pakistan although it is a terror country?,Why is China empowering Pakistan?,0
321413,630549,630550,Who has the largest outie bellybutton?,Which is largest internal organ in the body?,0
149581,295920,295921,How does demonetization of the 500 and 1000 notes bring down the real estate price?,How does the demonetized notes of 500 and 1000 effect the real estate?,1
157905,312253,312254,I have changed my present address last month and am in need of a passport. Which documents are valid as present address proof?,"I have mentioned my present address in passport, but now I am planing to move from this place, Is it necessary to apply for passport address update?",0
391365,764959,764960,Filial piety and humaneness?,What kind of patients mostly die in a hospital?,0
100536,199496,199497,Why is a 1 rupee note signed by the Ministry of Finance and the rest of the notes by the Governor of India?,Why is the one rupee-note printed by the government of India and other denominations by RBI?,0
138695,274564,274565,How do I fall out of love with someone that I'm forced to see every day?,How do I fall out of love with a man who I live with and see every day?,1
186418,368105,368106,"In dreaming, what does it mean when you are always working?",What does it mean when you can see yourself in your dream?,0
211892,417905,417906,Tennis: Which singles player has served most aces in their career?,Tennis: How common is it for a player to score an ace on their second serve?,0
18412,36738,36739,"I'm 24, I want to be a entrepreneur. How do I start?","I'm 17, going on 18. I want to become a successful entrepreneur. How do I approach this dream?",1
177949,351514,351515,Which colors combine to make brown?,What color go with brown sofa?,0
344589,675322,675323,How is barium sulfate dihydrate formula determined?,How can you determine the formula for calcium sulphate dihydrate?,0
74996,149028,149029,What are some examples of psychological barriers to communication?,What are some examples of psychological barriers?,0
334078,655036,655037,Why were the 500 and 1000 rupee notes demonetized?,What is the logic behind scrapping of 500 and 1000 rupee notes by the Indian Government?,1
258099,507990,507991,Why do feminists think women are equal?,"Is it correct to state that someone who is not a feminist is a sexist, a misogynist or anti-women?",0
303913,596777,596778,We cannot feel air moving out from a moving bus. Why?,"Hot air moves upward, does humid air also moves according to certain law?",0
171708,339286,339287,"Is there an India website, where I can complaint against my landlord?","There is a small scale industry behind my house and their machines are always creating disturbance, where can I register a complaint against it?",0
315542,619225,619226,How is Shah Rukh Khan as a person?,"How is Shah Rukh Khan in real life, and what is it like interviewing him?",1
44567,88749,88750,Where can I get list of stylish collection of designer floor tiles in Sydney?,Where can I get huge selection of floor tiles in Sydney?,1
198560,391873,391874,How may I know whether my wife is cheating on me?,How can I know if my wife is a cheater?,1
118100,234076,234077,How much money should I carry for a week-long trip to Cambodia?,Is a two-week trip too long for going to Cuba?,0
374856,733390,733391,"Has political ""correctness"" gone too far in Australia?",Has political correctness in U.S. universities gone too far?,0
119372,236582,236583,What can I do to prevent my hairfall?,What do I do to stop my hairfall?,0
348726,683239,683240,How can you determine the chemical name for NO2?,How can you determine the chemical formula for C6H12?,0
223481,440478,440479,Do actors actually have sex?,Do actors have sex?,1
69940,139015,139016,How you rate Great Lakes Chennai or Gurgaon for PGPM?,"What is the best option among: TAPMI, IFMR, Great Lakes Gurgaon 1 year PGPM?",0
73030,145130,145131,What price should charge a patient against biomimetic aura airlines eluting coronary stent system if the mrp of the product is Rs 100000/-?,"A Rs. 5000 item can be insured for its total value by paying a premium of Rs. N. If the probability of theft in a given year is estimated to be .01, what premium should the insurance company charge if it wants the expected gain to be equal to Rs. 1000?",0
319190,626260,626261,Is Redmi note 3 a good buy?,I want buy Xiaomi Redmi Note 3 is it good to buy that?,1
287199,564381,564382,Is time travel to 2010 possible?,Is time travel already possible on Earth?,1
225346,444140,444141,How can I fix a frozen computer?,How do I fix a frozen screen?,0
241673,476020,476021,My guy friend hasn't texted me for about three days now. Should I worry?,My guy friend hasn't been texting me for about a week now. Should I panic?,1
403876,788885,788886,How much does it cost in India to register a trademark & copyright the content you have generated using your research?,How can I know when to use the registered trademark symbol?,0
37252,74225,74226,Does positive thinking helps to be handsome?,Is positive thinking helpful?,0
129134,255800,255801,Who is Deepika Padukone marrying?,Can I marry Deepika Padukone by any chance?,0
41638,82932,82933,How are Bulova watches made?,Where are bulova watches made?,0
152153,300973,300974,I have scored 107 in SSC CGL 2016 tier 1gen category what r my chances of selection to tier 2?,I scored 104 in SSC CGL 2016 Tier-1. Is it good enough to clear the exam given that I belong to General category ?,1
394589,771126,771127,Is there a St. Marie Adolphine Dierks? How did she become a saint and what was her contribution to the faith?,Is there a St. Marie Trezelle? How did she become a saint and what was her contribution to the faith?,0
15354,30648,30649,Do you think 48 teams for the World Cup are good for football?,Do you think Brazil could win 2014 World cup football?,0
87344,173448,173449,What are the strongest majors in terms of job prospects and what are the weakest majors at Winthrop University?,What are the strongest majors in terms of job prospects and what are the weakest majors at Marshall University?,0
179074,353718,353719,Is there anyone in TCS who got 3 consecutive 'A' bands?,What are bands in TCS?,0
181627,358721,358722,What are the good qualities required for software developers?,What makes a good software developer?,1
196894,388604,388605,Who will win the 2016 presidential election?,Which candidate is currently projected to win the 2016 election at this time?,1
35904,71540,71541,How is the Uber business model sustainable in the long run?,How is uber as a business model in India? Can someone invest in uber as just money making business?,0
56382,112174,112175,What are some things new employees should know going into their first day at Chart Industries?,What are some things new employees should know going into their first day at CSS Industries?,0
75630,150283,150284,Why were the predictions and polls so wrong about the results of the 2016 Presidential Election?,Why were the prediction polls in the U.S. Presidential election so wrong?,1
351449,688470,688471,What is your review of Volkswagen Polo petrol?,What is your review of Volkswagen Polo?,0
362567,709825,709826,What is the thinking behind Quora login page design?,What is the eligibility for SAP HANA?,0
351959,689444,689445,"What is the difference between a Center Forward (CF) and Striker (ST) , Is it based only on the formation?",What is the difference between a #6 and a #8 in soccer/football?,0
366748,717835,717836,Why is so dificult to get views and subscribers on youtube?,"What is a tutorial on how to get more YouTube views, subscribers, and likes?",0
286189,562434,562435,How do I make money through Quora?,How people make money by answering questions in Qoura?,1
206456,407307,407308,What are some things new employees should know going into their first day at CMS Energy?,What are some things new employees should know going into their first day at Anatolia Energy?,0
307772,604214,604215,Does Data Science come under Computer Science?,What is scope of data science in coming years?,0
251863,495843,495844,What are some best ways to earn money without monetary investment or fixed regular job?,What are possible ways to be able to generate a lot of money without a degree?,1
273268,537388,537389,Where can I buy used watches?,Where can I buy used watch in paris?,0
369200,722530,722531,What are the best tips for winter driving?,What are the most important tips on winter driving?,1
126002,249646,249647,Do girls get nightfall?,How do I cure myself from nightfall?,0
154493,170736,305558,What is the experience most employees go through after their startup has been acquired?,What happens to employees after your startup gets acquired?,1
94640,187869,187870,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Andreanof Islands earthquake in 1957?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Cascadia earthquake in 1700?",1
308735,606089,606090,Sap abap jobs in Hyderabad for freshers?,How can I upgrade my kitchenaid proline espresso machine's steam wand?,0
19950,39807,39808,What are some reasons a Samsung TV might keep turning off?,What are some reasons a Samsung TV might be turning off and on?,1
268858,528843,528844,What do John Malone's (Liberty Media's) investment bankers actually do?,How much do investment bankers sleep?,0
13027,26008,26009,Do pro sports teams pay for families to travel with them?,Do sports teams pay for families to travel with the family member on the team?,1
244495,481508,481509,What is means love?,What is meaning of love?,1
59184,117728,117729,What makes you proud about India?,What is it that makes you proud of India?,1
146516,289908,289909,Which is the best career option after a 12th in humanities?,Which will be the best career options after 12th in 2017?,0
371066,646790,726117,How would you explain the difference between the Normal and Poisson distributions to a layman?,How would you explain the Gaussian distribution in layman's terms?,0
348238,682306,682307,How do I write an essay on describing yourself?,How should one write an essay on myself?,0
128980,255497,255498,What is your view on NDTV ban?,Why is NDTV banned?,1
102575,203514,203515,How many times (real average) can a man have sex (orgasm) during a night or day (12 hours)?,Who have a better orgasm: men or women?,0
205542,405510,405511,How is electricity produced on an airplane?,How would an electric airplane work?,0
222354,438281,438282,What would you do if you had 50 million dollars?,What would you do with a million dollars?,0
77880,154728,154729,What does 抜け感 mean?,What does ' [*]' mean?,0
166935,329936,329937,Can skype bots show webcam girls?,"Can a Webcam girl really make £45,000 per month?",0
379411,742081,742082,What is the difference between brandy and bourbon?,"What is the difference between gin, vodka, whiskey and rum?",0
223630,440767,440768,How do I decide which engineering field is good for me considering physics and maths as my fav subjects?,I am a mechanical engineering student and have decided to go for the IAS exams. What is the best subject to learn excluding maths and physics?,0
94325,187251,187252,Is arranged marriage good or bad? What do you think?,"I am a 23-year-old girl who is about to get married in 4 months. It's an arranged marriage. I have been with him for 5 months already and I am still not in love with my fiancé! In fact, I hate him because of his behaviour. My parents aren't supportive because of society's pressure. What should I do?",0
100205,198841,198842,To what extent can advertising a product concept to see likes/clicks targeting on Facebook result accidentally cause to incorrectly analyze the data for what it means you should do?,What are some interesting results Daniel Ek learned analyzing Spotify's user data?,0
34205,68165,68166,Will Theon meet the Starks again?,Are you going to push to improve the ACA?,0
123984,245667,245668,Does masturbation affect fertility?,Is female masturbation harmful? Does it has any effect on childbirth or fertility?,0
208268,410839,410840,How can I bake cake?,How can I learn about baking cakes and desserts?,0
362442,709584,709585,In which website can I watch cartoons in telugu?,What are the best Telugu action films to watch out for in 2015?,0
263052,517587,517588,Dark Web: How can you access the deep web on a mobile phone?,Could accessing the dark web give you viruses?,0
317693,623368,623369,"What is the meaning of ""brisado""?",What is the meaning of meaning?,0
23213,46313,46314,What are the best Scala libraries for machine learning?,Why should I learn Scala?,0
46412,92410,92411,"If black holes pull in all matter due to a high gravitational pull, but light has no mass and also isn't considered matter, how can black holes exist?",What is tension and compression mean in bridges?,0
250575,493337,493338,Apple: Why time is displayed as 9:41 AM in Apple iPhone advertisements?,"In every Apple advert, the time on the iPhone screen is 9.41. Why?",1
218221,430254,430255,Why are so many Quora users posting questions that are readily answered on Google?,Why do so many people ask questions on Quora that can be found in a Google search?,1
285899,561874,561875,What if China attacked the USA?,What will happen if the USA attacks China?,0
133721,264812,264813,How do I start an online advertising company?,How do I start an advertising company?,0
41362,82386,82387,"Where can I drop off USPS mail, other than at a post office?",Can I pick up undeliverable USPS mail from post office?,0
92636,183918,183919,What happens to the a person's soul after his/her death?,What happens to the soul after it leaves the body?,1
220949,435552,435553,What are your Christmas traditions?,Would you like to tell me some of your Christmas customs?,1
52966,105402,105403,How can I improve in English?,How can I improve my communication skills in English?,1
133938,265240,265241,Do special tatkal trains run on time?,Do special Tatkal trains run in time?,1
346470,678933,678934,Must I change all 4 tires on my 2008 BMW X3?,How can I replace the transfer case for a BMW X3?,0
385401,753560,753561,"What is the oldest book in history, which is still available?",Which is the oldest written book in the history of mankind?,1
268676,528490,528491,How can you define life in 2 words?,How would you define your past life in just one word?,0
20892,41679,41680,When will I know I found the one?,"How did you know you found ""the one""?",1
36936,73594,73595,What would be the most appropriate answers or approach interview questions?,What would be the appropriate answer for the following interview question?,0
100283,198995,198996,How much money does an artist from second tier bands like Staind or Theory of a Deadman earn?,How much money I will earn if my website gets 1 lac hits per second?,0
123230,244189,244190,What are the raw materials for making chocolate?,What are the raw materials of silver paper roll?,0
177101,349855,349856,Which is the top best oldest university in Algeria?,What is it like to be homeless in Algeria?,0
235357,463673,463674,If you could have one big question answered what would your question be?,"If you could ask the universe one question, and get a complete answer, what would your question be?",1
228429,450161,450162,How do attractive women cope with constant staring in public places?,How do attractive people deal with people staring at them and just getting a lot of attention?,0
181376,358227,358228,Why endoscopy is done?,What is endoscopy?,0
307139,603000,603001,Where can I go to have sex for free?,How can I get casual sex for free?,1
123191,244112,244113,How is the world without engineers?,How do I tell a German girl I like her?,0
200356,395384,395385,Can you get pregnant a couple days before your period?,Can I get pregnant a couple hours before I got my period?,1
86695,172167,172168,Which is the best website to learn python?,What are the best websites to learn Python?,1
267684,526562,526563,"What are the differences between unipolar, bipolar, and multipolar neurons?",What is the difference between L5 and L2/L3 pyramidal neurons?,0
130871,259213,259214,What are the pros of sweatshops?,What are the cons of sweatshops?,0
305332,599521,599522,What is indirection?,What is indirect imaging?,0
191509,378074,378075,Will the Clinton Foundation be a problem for Hillary Clinton running for president?,What does the Clinton Foundation do?,1
400560,782529,782530,Do you like Virat Kohli?,Why do you like Virat Kohli?,1
157929,312299,312300,Is BJP trying to turn ADMK into a proxy in Tamil Nadu?,Is BJP trying to replace AIADMK and Dravidian politics in Tamil Nadu?,0
328307,251979,643887,Why should we learn history?,Why do we have to learn history?,1
101849,202077,202078,"What is the meaning of 'hath kangan ko arsi kya, pade likhe ko farsi kya'?","There is an Indian Hindi phrase that says ""Bandar kya jaane adrak ka swad"". Why was this made?",0
402421,786107,786108,What is Fetty Wap like in person?,Why is Fetty Wap so popular?,0
246735,485882,485883,What are some of the best car gadgets technology available?,What are the best car gadgets and tools?,1
23656,47196,47197,What is the last thing you would like to do before you die?,What do you want to do before you die?,1
192011,379061,379062,"What are the best answers for ""Why should I hire you?""in a cool way?","What are some of the best reply to the question ""Why should we hire you?""?",1
316493,621058,621059,How can I use Omegle on my iPod Touch and how is it compared to using ChatGig?,How can I use Omegle on my iPod Touch and how is it compared to using aFreeChat.com?,0
208589,411472,411473,How can I add an upload button to a Google Form?,How do I upload documents through Google Form responses?,0
245334,483150,483151,What will happen with my Google apps account when change the DNS MX records on my domain?,What happens to the blocked contacts on my WhatsApp account if I delete my account?,0
198331,391431,391432,What is the difference between monosaccharides and disaccharides? What is a sugar unit?,Sugar: Why are monosaccharides and disaccharides sweet while polysaccharides are not sweet?,0
400474,782366,782367,How does an airplane fly?,How aeroplanes fly?,1
75136,149308,149309,Why do I love to give oral sex?,How do you get your girlfriend to give you oral sex?,0
350827,687281,687282,Why did globalisation happen when it did?,What policies are adopted by Apple for music player and PC?,0
330707,648521,648522,What if Turkey would have entered World War II on the Allied side (much) earlier?,What was the best ground-attack aircraft of World War 2 (on either Allied or Axis side)?,0
277683,545958,545959,Which is the best smartphone I can buy under Rs.6000?,Which is the best phone to buy under Rs.6000?,1
392221,766594,766595,Is diploma equivalent to graduation?,Why is a diploma equivalent to a graduation?,1
67506,134207,134208,Reincarnation: Can humans ever be born again?,Can we ever act human again?,0
357018,699166,699167,What are some tips on making it through the job interview process at Noble?,What are some tips on making it through the job interview process at Quantum?,0
302,605,606,Do you need friends?,Why do we need friends?,0
243114,478819,478820,What is moto g2 screen replacement cost in india?,How much would it cost to replace my broken screen for a Motorola Moto G 1st gen?,0
396009,773832,773833,Should I buy NFL tickets from StubHub now or wait? Why?,How do you buy tickets from someone over Facebook? It's for a concert.,0
47331,94236,94237,How beautiful is life?,What makes life beautiful?,0
157870,312183,312184,What pastries can you use for pies?,Is disqus comment in wordpress bad for SEO?,0
306229,601250,601251,"What is difference between principles of Maoism, communism, Leninism, Marxism, and Naxalism?",What parts of Maoism find their way into the Marxism–Leninism–Maoism (M–L–M or MLM) school of political philosophy? Which ones are rejected outright?,0
123949,245597,245598,Which is the most read newspaper in India?,What are the must read newspapers in India?,0
300235,589667,488958,What is it like to arrange an arranged marriage?,What is it like to be in an arranged marriage?,1
103563,205438,205439,Who was started Social Media war between Indian and Pakistani?,"Which army special unit is much more experienced and well trained, the SSG(N) or the MARCOS?",0
252434,496960,496961,How can I change the order of Snippets in Google Search engine?,How will I change Google custom search engine to Google Chrome?,0
382424,747866,747867,Is there any equivalent of the Dawn dishwashing detergent available in India?,Is the CPA in India equivalent to a post graduate?,0
308887,606388,606389,What are the best online courses available for digital business and marketing management?,What are the best online courses for digital marketing?,1
73900,146852,146853,Why does Pakistan never act against terrorism?,Why is Pakistan not willing to act against terrorism?,1
125011,247684,247685,What is the best brand of ethernet cables? Why?,Where is the best place to buy ethernet cables?,0
18206,36327,36328,Should I get a Dribbble Pro account?,"If I have an account on Dribbble and create design pieces in a Dribbble style, is there any advantage for me if I apply for an MFA program in the US?",0
55080,109593,109594,What are the similarities and differences between a model and a prototype?,What is the difference between prototype and model?,0
282046,554422,554423,Is daily masturbation causes any hair fall?,Will mastrubation cause hair fall?,1
383464,749856,749857,Which is the richest country in the world currently?,Which is the world's richest country and poorest country?,0
318361,624659,624660,Heard Mana Foliage is on the Backfoot? Did anyone have inputs on this Villa Project in Sarjapur Chandapura Road?,Which villa project in Chennai is good?,0
141062,279216,279217,Has someone ever taken advantage of your kindness or your willingness to help?,Has anyone taken advantage of your generosity?,1
21228,42350,42351,What are the chances of a second Cold War with Russia?,Is a second cold war with Russia a real possibility?,1
385151,753076,277701,What is the best part of our life?,What is the best part of life?,0
352553,690590,690591,How do you avoid overthinking?,How do I avoid overthinking about lonliness?,0
267163,525557,525558,When do we get an update for lollipop for htc 820g+ dual?,Will there be lollipop or marshmallow update for HTC DESIRE 820G+ DUAL SIM?,1
375582,734768,734769,Do we have Financial Management in IPCC group 1 in may 2017? Websites show change in syllabus.,I am trying to become a math scholar. What books do you recommend?,0
197225,389251,389252,Did Georgia ban Ray Charles? If so why?,How did Ray Charles influence Quincy Jones' musical career?,0
118988,235828,235829,Why don't people like Nickelback?,Why don't people dislike Islam?,0
322410,632476,632477,Is Koena who can remember scraps of information about co-workers a Memory Girl or Attentive Watcher or Simply Mental Case?,"Who would women rather be: an attractive girl who receives a lot of attention including the unwanted kind, or an average girl who doesn't get much attention?",0
360234,705359,705360,How do I apply for pan card (lost)?,"I don't have a proof of address, how do I apply for pan card?",1
154984,306517,306518,What are the best small classes for freshmen at Southern Connecticut State?,What are the best small classes for freshmen at Western Connecticut State?,0
196515,387858,387859,What are the different types of African drums?,How are the different types of African drums utilized?,0
59505,118367,118368,Which is the best platform for learning R language?,Which is the best platform to learn R language?,1
391526,765267,765268,Does the universe use knowledge without intent so that knowledge can be possessed as an ability outside the universe?,"If particles carry information and the higher the energy the less it interacts, does it mean that higher frequency particles undiscovered exist? If so, could it be so high that it carries as much energy as the observable universe?",0
59515,118387,118388,How do I ask questions on Quora?,Add questions on quora?,1
25617,51089,51090,If I had unprotected sex 5 days before my period when would I know if I was pregnant?,"If I had unprotected sex with a girl about 1-5 days before her period, and she got her period, does it mean she isn't pregnant?",0
379974,743162,743163,"A guy says he doesn't love me but time to time he does give hints that he likes me: he loves talking to me, and he knows I like him. So what is he trying to do?",I really really love a guy. He doesn't love me. He tells me bad things like he won't have sex with me or that I need to give him money. When I don't give him what he asks he won't talk to me. I can't live without him. What should I have to do?,0
15512,30963,30964,What is the best bicycle to buy in the range of 10k?,Which bicycle should I buy under 10k?,1
207670,409677,409678,Should there be a minimum wage?,What would wages look like if there was no minimum wage?,0
100390,199205,199206,What does the 10th Amendment of the U.S. Constitution mean?,What exactly does the 7th Amendment of the U.S. Constitution mean?,0
94820,188225,188226,Why it is difficult to find a loyal girl friend today?,What's going on in a guy's mind while hugging a girl?,0
252700,497475,497476,What are the best questions on Quora?,What are some good questions on Quora to follow?,0
181725,358914,358915,How can I overcome bad eating habits?,How can I break unhealthy eating habits?,1
315029,618239,618240,What is the best way to cool a beer?,What is the best way to make non alcoholic ginger beer?,0
125071,247804,247805,How can I lose an extreme amount of weight?,How can I lose post marriage weight?,1
187107,369459,369460,What's it like to be a heroin addict?,Do black people use heroin?,0
66790,132791,132792,Why did Val Valentino give reveal the secrets of magicians?,Is Dynamo's (Steven Frayne) magic real?,0
178817,353217,353218,What are some of the creative career options after bcom in India?,What options other than a corporate job do B.Com Hons. graduates have?,0
387911,758356,758357,What are the symptoms of bad air conditioners?,What are the sick symptoms of air conditioner?,0
313846,615966,151095,Why are Snapchat's photos worse quality than normal photos?,How could I delete all the photos on my iPhone?,0
42555,84756,84757,"Where can I buy formal dresses in Kuala Lumpur, Malaysia?",Where can I find a cool black/brown leather jacket in Mumbai?,0
39700,79082,79083,What are some of the uses of statistics in daily life?,What are the common acids used in daily life?,0
82547,163958,163959,Where can I find a good library in/near NOIDA with a reading room facility (where I can read my own books)?,How do I make reading a daily habit? What are some good books to get me started?,0
376046,735651,735652,What is a foot fetish?,What is it like to have a foot fetish?,0
21225,42344,42345,Which mobile phone should I buy - a Galaxy Note 5 or an S6 Edge Plus?,What are the signs of a chemical reaction and does the type of chemical used give a different sign?,0
120495,238790,238791,How do I improve my calculus skills?,How can I improve my calculus?,1
348025,183799,681894,What can I do if my new CA driver's license hasn't come in the mail?,Can I get a drivers license on B2 visa?,0
191723,378493,378494,"How, according to sociologist Jürgen Habermas, should I conduct a discussion with someone who has a radically different world view?",Should I marry the man who is kind but with a different view of money?,0
363488,711570,711571,How can I last for a longer time during sex?,How do I last longer during sexual activity?,1
129314,256156,256157,"If time dilation is propotional to the strength of gravity, will object in the moon experiences time faster than earth?",Will there be change in gravity and time dilation if the masses of all our planets are considered to be the same? What is the case when angular velocities are also considered the same?,0
262030,515609,515610,Do paradoxes exist?,Why do paradoxes exist?,0
283906,558009,558010,"How do I remove the error, ""No resource identifier found for attribute 'switchTextOn' in package 'android'""?",How do I remove log lines from android?,0
155409,307351,307352,What are the skills that an electronics student should possess to work as a software engineer at product based companies in India?,What are the main veins in the neck?,0
133352,107479,264090,"Is diagnostic medicine (ala House, MD) a real discipline?",What make House MD such a delightful season to watch?,0
307186,603091,603092,What should I do when my crush is my friend?,What can I do if my friend likes my crush?,0
39390,78467,78468,What is the best way of studying?,What is best strategy for study?,1
236985,466846,466847,What are some things new employees should know going into their first day at Xerox?,What are some things new employees should know going into their first day at Target?,0
111563,221216,221217,What’s your top 10 list of horror movies?,What are some good horror movies?,1
136825,270900,270901,How one can make use of its brain to its maximum potential?,How one can make use of his brain to its maximum potential?,1
45478,90560,90561,Is eating ice cream every day unhealthy?,How bad is it to eat ice cream at night?,0
227279,447920,447921,What are the fastest ways to lose belly fat?,Is there any fastest way to reduce some amount of belly fat?,1
258894,509532,509533,What is the best time to buy Galaxy s7 edge?,Should I buy Samsung S7 edge or wait for S8?,0
175393,346506,346507,What are the Illuminati and what symbolism appears on the American dollar bill?,Why are there Illuminati symbols on the dollar bill?,1
281323,553015,553016,Should I lend money to my best friend when I am not in a good condition?,I don't feel like lending my hard earned money to friends when they ask for help. I lost some trust by saying no. Am I correct?,0
400209,781864,781865,Which U.S. presidential candidate is most likely to lead the US into World War lll?,What presidential candidate is most likely to cause World War III?,1
323901,635370,635371,Why is Sachin Tendulkar not on Quora?,Why do you like Sachin Tendulkar?,0
80319,159551,159552,Was Lord Melbourne ever considered an attractive gentleman?,"How can I be, what I can describe?",0
262366,516250,516251,Why doesn't Quora let you upvote a really good question?,Should Quora allow us to upvote questions?,1
136860,270970,270971,How did Jacoby Brisset get mentored by Bill Parcells since high school?,Are you satisfied with your sex life?,0
136648,270550,270551,"Who invented the scientific method, rather than just logic, religion, philosophy, magic, rituals and actions?",Who invented the log cabin building method?,0
114270,226540,226541,Do red and brown algae have chlorophyll?,Does red algae have red chlorophyll?,0
298826,586941,586942,Which caste does charukula surname belongs to?,"Which caste does the surname ""Das"" belong to?",0
202358,399284,399285,Why couldn't Darth Vader sense Princess Leia was his daughter?,Why isn't Darth Vader's mask seated properly on his neck in the Star Wars Rogue One trailers?,0
380857,744862,744863,How do Under Armour shoes typically size?,What size shoe does Jay-Z wear?,0
84765,168351,168352,Can I stop dreaming a dream?,Why have I stopped dreaming?,0
295234,579956,579957,What are the best restaurants in San Sebastian that won't burn a hole in your pocket?,What are the best places to shop for pocket knives in Zurich?,0
381248,745606,745607,Which programming language do we need to code for drones?,Which programming language should we use to code for drones?,1
332175,651363,651364,What is the best medical PG coaching center in Hyderebad?,Which is the best coaching class for the preparation of medical entrance exams in India?( UG and PG),0
23339,46565,46566,"If an American woman is married to anyone from Canada, the UK, Australia, or South Africa, can she still be eligible to contest as a governor of any state in the US or as a president of the US?",Will US & Japan issue a joint statement to call Australia to recognise the legitimacy of the private Tribunal as Australia has denied the legitimacy?,0
